time,open,high,low,close,tick_volume,spread,real_volume
2025-01-28 11:00:00,2741.06,2745.24,2740.38,2743.43,4006,18,0
2025-01-28 12:00:00,2743.36,2745.22,2740.25,2743.09,3615,13,0
2025-01-28 13:00:00,2743.09,2744.61,2741.61,2742.78,3438,9,0
2025-01-28 14:00:00,2742.8,2745.63,2741.25,2745.6,3691,7,0
2025-01-28 15:00:00,2745.71,2749.54,2745.24,2748.71,4754,12,0
2025-01-28 16:00:00,2748.9,2756.26,2748.72,2752.87,5349,6,0
2025-01-28 17:00:00,2753.31,2757.23,2751.04,2755.44,5273,5,0
2025-01-28 18:00:00,2755.44,2759.61,2755.19,2758.7,5024,12,0
2025-01-28 19:00:00,2758.58,2759.99,2757.44,2759.69,4089,9,0
2025-01-28 20:00:00,2759.87,2763.52,2759.05,2762.16,4021,11,0
2025-01-28 21:00:00,2762.18,2765.05,2761.11,2764.92,3229,12,0
2025-01-28 22:00:00,2764.9,2765.11,2762.34,2764.09,3825,5,0
2025-01-28 23:00:00,2764.04,2764.04,2762.7,2763.17,1412,5,0
2025-01-29 01:00:00,2763.23,2764.26,2762.31,2762.74,1222,10,0
2025-01-29 02:00:00,2762.75,2764.88,2762.28,2763.92,1634,12,0
2025-01-29 03:00:00,2763.96,2766.2,2763.54,2763.79,2887,12,0
2025-01-29 04:00:00,2763.75,2765.68,2763.35,2764.19,2607,9,0
2025-01-29 05:00:00,2764.21,2764.51,2762.3,2762.8,2854,7,0
2025-01-29 06:00:00,2762.67,2764.31,2761.47,2762.47,2864,7,0
2025-01-29 07:00:00,2762.45,2763.09,2760.03,2760.74,2365,7,0
2025-01-29 08:00:00,2760.92,2762.08,2759.13,2759.17,3003,12,0
2025-01-29 09:00:00,2759.08,2760.57,2757.37,2759.21,3446,5,0
2025-01-29 10:00:00,2759.3,2766.01,2759.3,2763.94,3801,6,0
2025-01-29 11:00:00,2763.83,2764.24,2760.27,2762.84,3950,7,0
2025-01-29 12:00:00,2762.77,2763.37,2757.04,2758.18,4277,7,0
2025-01-29 13:00:00,2758.26,2759.77,2757.46,2758.99,3442,10,0
2025-01-29 14:00:00,2758.9,2759.0,2755.59,2756.59,4233,12,0
2025-01-29 15:00:00,2756.6,2759.54,2752.23,2758.74,5231,5,0
2025-01-29 16:00:00,2758.86,2761.07,2756.12,2759.37,5339,8,0
2025-01-29 17:00:00,2759.55,2759.75,2748.52,2754.2,5488,5,0
2025-01-29 18:00:00,2754.45,2756.25,2748.49,2751.54,4900,5,0
2025-01-29 19:00:00,2751.65,2754.37,2750.96,2752.94,3698,5,0
2025-01-29 20:00:00,2752.84,2753.89,2748.79,2751.14,4082,5,0
2025-01-29 21:00:00,2751.36,2757.98,2744.76,2755.24,5612,5,0
2025-01-29 22:00:00,2755.1,2759.04,2752.75,2755.01,4552,5,0
2025-01-29 23:00:00,2754.97,2759.77,2754.02,2759.68,1816,5,0
2025-01-30 01:00:00,2759.61,2760.7,2758.23,2760.29,1534,10,0
2025-01-30 02:00:00,2760.31,2762.55,2758.98,2762.11,2037,5,0
2025-01-30 03:00:00,2762.05,2762.05,2759.02,2760.13,3049,5,0
2025-01-30 04:00:00,2760.06,2761.91,2759.18,2760.33,3183,5,0
2025-01-30 05:00:00,2760.32,2762.41,2759.28,2761.76,2593,5,0
2025-01-30 06:00:00,2761.66,2763.45,2759.87,2760.49,2477,5,0
2025-01-30 07:00:00,2760.52,2761.17,2758.7,2760.58,2285,5,0
2025-01-30 08:00:00,2760.58,2766.38,2760.25,2765.61,2812,5,0
2025-01-30 09:00:00,2765.59,2769.58,2765.0,2769.14,3649,5,0
2025-01-30 10:00:00,2769.28,2776.71,2768.58,2776.21,4081,5,0
2025-01-30 11:00:00,2776.5,2776.62,2771.56,2774.36,4113,5,0
2025-01-30 12:00:00,2774.24,2779.26,2773.94,2778.32,3906,5,0
2025-01-30 13:00:00,2778.33,2779.44,2777.11,2777.68,3343,5,0
2025-01-30 14:00:00,2777.65,2781.15,2776.21,2780.08,3634,6,0
2025-01-30 15:00:00,2780.06,2786.01,2778.25,2785.66,5110,5,0
2025-01-30 16:00:00,2785.82,2789.13,2780.15,2787.62,6105,5,0
2025-01-30 17:00:00,2787.99,2796.69,2786.61,2795.41,5983,5,0
2025-01-30 18:00:00,2795.16,2798.32,2790.29,2790.58,5643,5,0
2025-01-30 19:00:00,2791.2,2795.9,2788.77,2795.61,5028,5,0
2025-01-30 20:00:00,2795.62,2797.1,2792.07,2795.23,4122,5,0
2025-01-30 21:00:00,2795.23,2795.36,2790.76,2793.4,3203,5,0
2025-01-30 22:00:00,2793.38,2798.22,2792.3,2795.68,4297,7,0
2025-01-30 23:00:00,2795.53,2798.49,2789.81,2794.06,1648,5,0
2025-01-31 01:00:00,2795.08,2797.15,2791.77,2796.38,2105,7,0
2025-01-31 02:00:00,2796.28,2799.65,2794.52,2795.74,2489,5,0
2025-01-31 03:00:00,2795.79,2796.63,2794.58,2796.26,3131,5,0
2025-01-31 04:00:00,2796.15,2798.3,2794.68,2796.17,3136,5,0
2025-01-31 05:00:00,2796.21,2798.21,2795.84,2796.38,3315,5,0
2025-01-31 06:00:00,2796.32,2796.49,2794.58,2795.92,2660,5,0
2025-01-31 07:00:00,2795.7,2796.46,2793.98,2795.49,3306,5,0
2025-01-31 08:00:00,2795.49,2796.3,2792.18,2792.94,2847,5,0
2025-01-31 09:00:00,2792.59,2801.15,2792.27,2798.15,3934,5,0
2025-01-31 10:00:00,2798.11,2799.3,2791.69,2793.33,4009,5,0
2025-01-31 11:00:00,2793.19,2796.38,2792.74,2793.66,3871,5,0
2025-01-31 12:00:00,2793.66,2795.22,2791.02,2794.27,3929,5,0
2025-01-31 13:00:00,2794.28,2800.74,2792.44,2800.19,4028,5,0
2025-01-31 14:00:00,2800.15,2807.73,2799.77,2805.74,4171,5,0
2025-01-31 15:00:00,2805.83,2808.65,2803.59,2806.41,5014,5,0
2025-01-31 16:00:00,2806.54,2812.52,2804.54,2812.38,5543,5,0
2025-01-31 17:00:00,2812.34,2817.23,2808.26,2809.2,5765,5,0
2025-01-31 18:00:00,2809.42,2810.34,2805.0,2807.27,4622,5,0
2025-01-31 19:00:00,2807.28,2816.08,2802.93,2808.76,5761,5,0
2025-01-31 20:00:00,2808.75,2808.91,2795.31,2798.91,5729,5,0
2025-01-31 21:00:00,2799.01,2802.86,2795.54,2796.3,4607,5,0
2025-01-31 22:00:00,2796.24,2802.1,2794.34,2800.88,5277,5,0
2025-01-31 23:00:00,2801.15,2802.7,2798.1,2798.47,1961,5,0
2025-02-03 01:00:00,2804.21,2805.79,2784.27,2793.06,4564,5,0
2025-02-03 02:00:00,2792.49,2796.96,2790.35,2792.31,3874,5,0
2025-02-03 03:00:00,2792.07,2792.21,2778.2,2782.27,5081,5,0
2025-02-03 04:00:00,2782.26,2782.77,2773.8,2778.1,5680,5,0
2025-02-03 05:00:00,2778.1,2778.26,2772.17,2774.41,4637,5,0
