time,open,high,low,close,tick_volume,spread,real_volume,MA_50,MA_200,Signal
2023-10-04 20:00:00,1820.98,1821.35,1818.28,1818.37,6346,4,0,1818.37,1818.37,0
2023-10-04 21:00:00,1818.36,1818.79,1816.58,1817.61,4329,4,0,1817.9899999999998,1817.9899999999998,0
2023-10-04 22:00:00,1817.62,1823.71,1817.45,1823.32,4772,4,0,1819.7666666666664,1819.7666666666664,0
2023-10-04 23:00:00,1823.33,1823.35,1820.39,1821.1,1586,2,0,1820.1,1820.1,0
2023-10-05 01:00:00,1821.26,1822.42,1821.26,1822.41,979,2,0,1820.562,1820.562,0
2023-10-05 02:00:00,1822.41,1823.92,1822.32,1822.53,1177,2,0,1820.89,1820.89,0
2023-10-05 03:00:00,1822.52,1825.71,1821.82,1825.65,3565,2,0,1821.57,1821.57,0
2023-10-05 04:00:00,1825.64,1828.17,1825.63,1828.08,5355,4,0,1822.38375,1822.38375,0
2023-10-05 05:00:00,1828.09,1828.43,1826.05,1826.19,2047,2,0,1822.8066666666664,1822.8066666666664,0
2023-10-05 06:00:00,1826.19,1828.71,1825.9,1828.29,2257,2,0,1823.355,1823.355,0
2023-10-05 07:00:00,1828.37,1829.2,1827.41,1827.67,1982,3,0,1823.7472727272727,1823.7472727272727,0
2023-10-05 08:00:00,1827.67,1828.21,1826.28,1826.31,2414,4,0,1823.9608333333333,1823.9608333333333,0
2023-10-05 09:00:00,1826.31,1826.59,1822.16,1822.26,4578,6,0,1823.8300000000002,1823.8300000000002,0
2023-10-05 10:00:00,1822.24,1822.84,1819.9,1820.71,6914,4,0,1823.607142857143,1823.607142857143,0
2023-10-05 11:00:00,1820.71,1822.46,1819.73,1819.88,7098,4,0,1823.3586666666667,1823.3586666666667,0
2023-10-05 12:00:00,1819.82,1823.37,1819.66,1822.0,4783,4,0,1823.27375,1823.27375,0
2023-10-05 13:00:00,1822.0,1824.01,1820.74,1823.24,5542,4,0,1823.2717647058823,1823.2717647058823,0
2023-10-05 14:00:00,1823.24,1823.44,1820.25,1823.04,6952,4,0,1823.258888888889,1823.258888888889,0
2023-10-05 15:00:00,1823.06,1823.91,1813.01,1815.7,19191,4,0,1822.861052631579,1822.861052631579,0
2023-10-05 16:00:00,1815.71,1821.89,1814.13,1820.69,23623,4,0,1822.7525,1822.7525,0
2023-10-05 17:00:00,1820.69,1821.14,1816.46,1819.93,21149,4,0,1822.6180952380953,1822.6180952380953,0
2023-10-05 18:00:00,1819.92,1819.99,1814.41,1815.53,15720,4,0,1822.2959090909092,1822.2959090909092,0
2023-10-05 19:00:00,1815.48,1818.39,1814.85,1818.15,9545,4,0,1822.1156521739133,1822.1156521739133,0
2023-10-05 20:00:00,1818.15,1819.5,1815.89,1819.13,7086,4,0,1821.99125,1821.99125,0
2023-10-05 21:00:00,1819.14,1820.64,1818.63,1820.26,5439,4,0,1821.922,1821.922,0
